fid,latitude,longitude,TOTAL_SCORE,cluster
4071,42.28519419,-71.05532585,51,151
4072,42.28518134,-71.05551914,51,151
4073,42.28515798,-71.05570761,51,151
4074,42.28513408,-71.0558964,51,151
4075,42.28510625,-71.05612451,51,151
4076,42.2850763,-71.05636093,51,151
4077,42.2837527,-71.05648864,51,151
4078,42.28373578,-71.05686873,67,151
4079,42.2837197,-71.05725929,51,151
4080,42.28371408,-71.05742453,51,151
4081,42.28372057,-71.0582858,66,151
4082,42.28365921,-71.05968321,60,151
4083,42.28363238,-71.05982412,57,151
4084,42.2838519,-71.06001653,51,151
4085,42.28393226,-71.0597173,51,151
4086,42.28428786,-71.05831288,51,151
4087,42.28465014,-71.05670702,61,151
4088,42.28467932,-71.05648089,51,151
4089,42.28477855,-71.05571281,57,151
4090,42.28477356,-71.0588318,51,151
4091,42.28501407,-71.05738213,57,151
4092,42.28489007,-71.05734057,57,151
4093,42.28466379,-71.05836658,57,151
4094,42.28456257,-71.05850358,57,151
4095,42.28674175,-71.05221121,51,202
4096,42.28647004,-71.05188044,51,202
4097,42.28634134,-71.05182678,51,202
4098,42.28622741,-71.05176556,51,202
4099,42.28611424,-71.05170529,51,202
4100,42.28600077,-71.05164486,51,202
4101,42.28577394,-71.05152394,51,202
4102,42.28540068,-71.05124033,52,202
4103,42.28477959,-71.05154651,51,202
4104,42.28504208,-71.05152743,51,202
4105,42.28539313,-71.05170047,51,202
4106,42.28564567,-71.05182536,51,202
4107,42.28591459,-71.05195872,51,202
4108,42.28603216,-71.05201658,51,202
4109,42.28615839,-71.05207925,51,202
4110,42.28622448,-71.05373527,59,202
4111,42.28577667,-71.05413241,51,202
4112,42.28580983,-71.05377777,51,202
4113,42.28584341,-71.05361378,51,202
4114,42.28594627,-71.05319328,51,202
4115,42.28599707,-71.05302982,52,202
4116,42.28603881,-71.05285401,51,202
4117,42.28608189,-71.05268701,51,202
4118,42.28613074,-71.05249828,51,202
4119,42.28586074,-71.05252711,51,202
4120,42.28574357,-71.05299676,51,202
4121,42.28569298,-71.05316423,51,202
4122,42.28548055,-71.05446153,51,202
4123,42.28669302,-71.05157638,60,200
4124,42.28677373,-71.05124143,56,200
4125,42.28681252,-71.05106122,51,200
4126,42.28633083,-71.05091558,51,200
4127,42.28622912,-71.05086907,51,200
4128,42.28598273,-71.05075459,51,200
4129,42.2858213,-71.05058249,51,200
4130,42.28578925,-71.05071851,51,200
4131,42.28580117,-71.05087486,51,200
4132,42.28566024,-71.05100375,51,200
4133,42.2857778,-71.05106243,51,200
4134,42.28590743,-71.05107333,51,200
4135,42.28640293,-71.05131647,51,200
4136,42.28652482,-71.05137683,51,200
4137,42.28707721,-71.04918554,66,200
4138,42.28644423,-71.04885399,68,200
4139,42.28673767,-71.04962371,51,200
4140,42.28686522,-71.05073689,51,200
4141,42.28694669,-71.05047265,51,200
4142,42.28697704,-71.05033362,51,200
4143,42.28700722,-71.0501909,51,200
4144,42.2868049,-71.05021545,51,200
4145,42.28655174,-71.05010013,51,200
4146,42.28631816,-71.04999387,61,200
4147,42.28621012,-71.04994486,51,200
4148,42.28594281,-71.0501184,51,200
4149,42.28589972,-71.05029052,51,200
4150,42.28610548,-71.05028635,51,200
4151,42.28622888,-71.05034248,51,200
4152,42.28645474,-71.05044521,51,200
4153,42.28657495,-71.05049991,51,200
4154,42.28671677,-71.05056454,51,200
4155,42.28409535,-71.05465438,68,202
4156,42.28400048,-71.05401642,59,202
4157,42.28459815,-71.05397983,59,202
4158,42.28460797,-71.05351072,61,202
4159,42.28467606,-71.05304374,51,202
4160,42.28493498,-71.05213643,51,202
4161,42.28432868,-71.05388882,51,202
4162,42.28439703,-71.05452277,51,202
4163,42.28442406,-71.05468245,51,202
4164,42.28445264,-71.05484825,51,202
4165,42.28521805,-71.05456585,51,202
4166,42.28527053,-71.05332592,51,202
4167,42.28530519,-71.05318298,51,202
4168,42.28534222,-71.05304443,51,202
4169,42.28542945,-71.05271468,51,202
4170,42.28551565,-71.05238904,51,202
4171,42.28510499,-71.05293245,51,202
4172,42.28500794,-71.05337598,51,202
4173,42.28495629,-71.05386605,57,202
